Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Sale price,Categories,In stock?,Stock,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Parent
simple,KO-P01,"مقص عينات كهربائي",1,1,visible,"مقص عينات كهربائي عالي الكفاءة لقص الأقمشة والعينات بسرعة ودقة عالية.","مقص عينات كهربائي عالي الكفاءة لقص الأقمشة والعينات بسرعة ودقة عالية، يوفر الوقت والمجهود في الورش والمصانع مقارنة بالقص اليدوي، وبناء متين يتحمل الاستخدام المكثف.",1950,1850,"أدوات القص",1,12,,,,,
simple,KO-P02,"مكبس كباسين يدوي",1,0,visible,"مكبس يدوي لتركيب الكباسين والأزرار الضاغطة على الأقمشة بإحكام واحترافية.","مكبس يدوي لتركيب الكباسين والأزرار الضاغطة على الأقمشة بإحكام واحترافية، سهل الاستخدام ومناسب للورش والاستخدام المنزلي المتكرر.",400,350,"إكسسوارات",1,25,,,,,
simple,KO-P03,"جهاز تني وتركيب استك اوتوماتيك مستورد",1,0,visible,"جهاز مستورد لتنّي وتركيب الأستك أوتوماتيكيًا بسرعة ودقة عالية.","جهاز مستورد لتنّي وتركيب الأستك أوتوماتيكيًا بسرعة ودقة عالية، يقلل المجهود ووقت التصنيع مع نتائج ثابتة الجودة في كل قطعة.",1950,1850,"مكن الخياطة",1,6,,,,,
variable,KO-P04,"مقص pin الاحمر",1,0,visible,"مقص تفريز احترافي (Pin) يعطي حواف مسننة أنيقة ويمنع تنسل الأقمشة، متوفر بثلاثة مقاسات.","مقص تفريز احترافي (Pin) يعطي حواف مسننة أنيقة ويمنع تنسل الأقمشة، متوفر بثلاثة مقاسات لتناسب كل احتياجات القص والتفصيل.",,,"أدوات القص",1,,"المقاس","مقاس 8 | مقاس 10 | مقاس 12",1,0,
variation,KO-P04-8,"مقص pin الاحمر - مقاس 8",1,,visible,,,420,,,1,,"المقاس","مقاس 8",,,sku:KO-P04
variation,KO-P04-10,"مقص pin الاحمر - مقاس 10",1,,visible,,,460,,,1,,"المقاس","مقاس 10",,,sku:KO-P04
variation,KO-P04-12,"مقص pin الاحمر - مقاس 12",1,,visible,,,520,,,1,,"المقاس","مقاس 12",,,sku:KO-P04
simple,KO-P05,"مسطره تحديد مقاس",1,0,visible,"مسطرة معدنية دقيقة لتحديد المقاسات بسهولة واحترافية أثناء التفصيل والقص.","مسطرة معدنية دقيقة لتحديد المقاسات بسهولة واحترافية أثناء التفصيل والقص، من الأدوات الأساسية في كل ورشة خياطة.",470,420,"أدوات القياس",1,30,,,,,
simple,KO-P06,"دكاكه حلزون",1,0,visible,"دكاكة حلزونية لعمل العراوي وتثبيت الكبسات بدقة وثبات.","دكاكة حلزونية لعمل العراوي وتثبيت الكبسات بدقة وثبات، تصميم متين يدوم طويلًا مع الاستخدام المكثف في الورش.",600,550,"إكسسوارات",1,18,,,,,
simple,KO-P07,"درج لمكينات الخياطه",1,0,visible,"درج عملي لتنظيم أدوات الخياطة بجانب الماكينة.","درج عملي لتنظيم أدوات الخياطة بجانب الماكينة، سهل التركيب ويوفر مساحة تخزين إضافية للإبر والخيوط والملحقات.",600,550,"إكسسوارات",1,22,,,,,
simple,KO-P08,"علبة مسطرة تني الأورلية",1,0,visible,"علبة مع مسطرة مخصصة لضبط تنّي الأورلية بدقة.","علبة مع مسطرة مخصصة لضبط تنّي الأورلية بدقة، تحافظ على الأداة من التلف وتسهّل استخدامها أثناء العمل.",550,450,"أدوات القياس",1,14,,,,,
simple,KO-P09,"دواسه تني متحركك",1,0,visible,"دواسة متحركة لتنّي الأستك أثناء التفصيل.","دواسة متحركة لتنّي الأستك أثناء التفصيل، تمنح تحكمًا أفضل وسرعة أعلى في الإنتاج مقارنة بالطرق التقليدية.",400,360,"إكسسوارات",1,27,,,,,
simple,KO-P10,"متر قياس إلكتروني",1,1,visible,"متر قياس إلكتروني رقمي يعرض القياسات بدقة وسرعة.","متر قياس إلكتروني رقمي يعرض القياسات بدقة وسرعة، بديل عملي وموفّر للوقت عن المتر التقليدي في أعمال التفصيل والقص.",700,650,"أدوات القياس",1,20,,,,,
